,id,epoch,sat_id,x,y,z,x_sim,y_sim,z_sim,type,time,x_pos_model,y_pos_model,z_pos_model
76436,145168,2014-01-24T06:53:14.445,70,,,,-582.8909327678782,68070.15493377291,-94988.60986331578,test,2014-01-24 06:53:14.445,120347.233316734,93945.99476638903,38684.65030603946
76437,145169,2014-01-24T10:39:49.003,70,,,,-16418.727192708415,72216.33601737437,-108951.07549440829,test,2014-01-24 10:39:49.003,102943.61032789998,97892.87286626926,26478.1345066714
76438,145170,2014-01-24T14:26:23.560,70,,,,-31746.597708326688,74010.96605623228,-119377.80422324965,test,2014-01-24 14:26:23.560,87560.50068309337,99868.13577588258,14742.981948850647
76439,145171,2014-01-24T18:12:58.117,70,,,,-46301.45068993356,73966.09112786231,-126844.26018011356,test,2014-01-24 18:12:58.117,74693.62390141653,99853.49373172429,4652.430838156234
76440,145172,2014-01-24T21:59:32.674,70,,,,-59927.436762438825,72419.58559541867,-131740.20631655768,test,2014-01-24 21:59:32.674,67218.3895359339,98050.94529164699,1633.4469247413142
76441,145173,2014-01-25T01:46:07.231,70,,,,-72515.46499466599,69608.33877059456,-134339.1499504956,test,2014-01-25 01:46:07.231,57585.78574269666,94795.62973303044,935.5134988824115
76442,145174,2014-01-25T05:32:41.788,70,,,,-83974.67467754353,65706.57531015789,-134836.85847555654,test,2014-01-25 05:32:41.788,40948.90778630748,90521.59142362044,1204.1934967962443
76443,145175,2014-01-25T09:19:16.345,70,,,,-94217.19292413881,60847.766913346335,-133373.93461137926,test,2014-01-25 09:19:16.345,26827.7554843829,85600.2101675448,2646.3878720087137
76444,145176,2014-01-25T13:05:50.902,70,,,,-103148.27999299568,55138.1887023101,-130049.56258819472,test,2014-01-25 13:05:50.902,17919.238510039828,80134.07795151383,5349.435445982976
76445,145177,2014-01-25T16:52:25.459,70,,,,-110658.26683770376,48666.04209150412,-124930.01830756305,test,2014-01-25 16:52:25.459,10309.809254049746,73990.47357223852,9096.248198534837
76446,145178,2014-01-25T20:39:00.016,70,,,,-116614.18945933276,41508.301964721206,-118053.86000605307,test,2014-01-25 20:39:00.016,4769.863060169859,66829.75967858528,14241.6034191441
76447,145179,2014-01-26T00:25:34.573,70,,,,-120849.34301420367,33736.724439320584,-109434.87749733297,test,2014-01-26 00:25:34.573,2059.3456136644686,58919.46037773829,21625.177685465238
76448,145180,2014-01-26T04:12:09.130,70,,,,-123148.53374125881,25424.327002876158,-99063.47490052473,test,2014-01-26 04:12:09.130,1067.3180841241142,50380.18658360757,32177.860643237207
76449,145181,2014-01-26T07:58:43.687,70,,,,-123225.41906988098,16654.119931840974,-86907.09344047759,test,2014-01-26 07:58:43.687,1317.543571428222,41675.09773305145,48169.30313670496
76450,145182,2014-01-26T11:45:18.244,70,,,,-120685.14221149756,7533.38379791942,-72910.74137821312,test,2014-01-26 11:45:18.244,3424.856478134791,31944.931615004465,65370.9375719307
76451,145183,2014-01-26T15:31:52.801,70,,,,-114958.04610312225,-1779.0379233732529,-57000.66199189102,test,2014-01-26 15:31:52.801,8437.638176286353,23909.824121016067,81354.4414724655
76452,145184,2014-01-26T19:18:27.358,70,,,,-105171.45289382608,-11012.612785147312,-39101.61244894366,test,2014-01-26 19:18:27.358,17951.616415072058,11833.569380549156,103146.5575237443
76453,145185,2014-01-26T23:05:01.916,70,,,,-89873.05735553832,-19629.566195327425,-19210.038417164054,test,2014-01-26 23:05:01.916,37602.62969216723,3661.4245243538767,133935.37654378143
76454,145186,2014-01-27T02:51:36.473,70,,,,-66349.19952377223,-26324.15399137771,2262.5498023322148,test,2014-01-27 02:51:36.473,69595.8470396901,4555.431314761479,153152.22669977817
76455,145187,2014-01-27T06:38:11.030,70,,,,-28879.0238219616,-26798.510366585444,22301.571958091547,test,2014-01-27 06:38:11.030,106409.88819620607,14348.732156902326,152463.76193983995
76456,145188,2014-01-27T10:24:45.586,70,,,,23607.026342233374,-4705.244497543721,18743.706116093334,test,2014-01-27 10:24:45.586,134661.53229094122,31606.908387429266,132950.44066793594
76457,145189,2014-01-27T14:11:20.143,70,,,,38776.69313584964,28955.241737362267,-20184.82746805287,test,2014-01-27 14:11:20.143,145512.5251775866,50936.47370807658,103137.031200656
76458,145190,2014-01-27T17:57:54.700,70,,,,29759.845196479808,48993.880848492714,-52691.70036526537,test,2014-01-27 17:57:54.700,144440.34394959093,67950.26878123001,76806.40151317485
76459,145191,2014-01-27T21:44:29.257,70,,,,15268.564072672369,61021.87866445755,-76897.56222296442,test,2014-01-27 21:44:29.257,137134.18394754472,81060.43372467975,57237.801934172334
76460,145192,2014-01-28T01:31:03.814,70,,,,-544.0609998910479,68328.84804810619,-95225.73602743355,test,2014-01-28 01:31:03.814,121607.40828593021,90306.82388318653,38480.841949016976
76461,145193,2014-01-28T05:17:38.371,70,,,,-16381.835644218845,72451.2855227218,-109140.77962070568,test,2014-01-28 05:17:38.371,103176.02218854187,96119.20234771883,22665.71148257706
76462,145194,2014-01-28T09:04:12.928,70,,,,-31711.662276093575,74225.23720163482,-119528.47236077336,test,2014-01-28 09:04:12.928,88892.51031058532,98941.10513555029,11027.23729984628
76463,145195,2014-01-28T12:50:47.485,70,,,,-46267.96127211402,74160.62488797211,-126959.69914457935,test,2014-01-28 12:50:47.485,77664.6298838558,99145.65667134251,4504.572255758132
76464,145196,2014-01-28T16:37:22.042,70,,,,-59894.14795194253,72594.69250801383,-131821.71452278298,test,2014-01-28 16:37:22.042,66917.61711474475,97323.80551487602,2227.9128270034544
76465,145197,2014-01-28T20:23:56.600,70,,,,-72480.52429093495,69764.30001576217,-134386.5019344675,test,2014-01-28 20:23:56.600,54822.28848572288,93983.61658757145,1824.1733216512496
76466,145198,2014-01-29T00:10:31.157,70,,,,-83935.77408574829,65843.87751452722,-134848.79571884678,test,2014-01-29 00:10:31.157,40503.27726727371,89909.5479859073,2234.921272542015
76467,145199,2014-01-29T03:57:05.714,70,,,,-94171.66674957564,60967.169664786474,-133348.41288879965,test,2014-01-29 03:57:05.714,27192.728783213748,85073.18540965565,3257.756033341331
76468,145200,2014-01-29T07:43:40.271,70,,,,-103093.12629187196,55240.70861414617,-129983.87084477324,test,2014-01-29 07:43:40.271,17047.70813416001,79755.07074690651,5018.348462282587
76469,145201,2014-01-29T11:30:14.828,70,,,,-110590.07806180931,48752.892526629024,-124820.82584426293,test,2014-01-29 11:30:14.828,9169.943872830758,72996.2828025199,7655.101714963229
76470,145202,2014-01-29T15:16:49.385,70,,,,-116528.96976300293,41580.809581362686,-117897.222074549,test,2014-01-29 15:16:49.385,4045.4627368457996,66075.52536286887,12454.400071536595
76471,145203,2014-01-29T19:03:23.942,70,,,,-120742.1700158157,33796.238257554796,-109226.21747201693,test,2014-01-29 19:03:23.942,1865.3571986347615,57691.66096074505,20764.88582443759
